Independent Variable - Plot	Dependent Variable - Plot
0	0
1	2.86E-07
2	1.14E-06
3	2.58E-06
4	4.58E-06
5	7.15E-06
6	1.03E-05
7	1.40E-05
8	1.83E-05
9	2.32E-05
10	2.86E-05
11	3.46E-05
12	4.12E-05
13	4.84E-05
14	5.61E-05
15	6.44E-05
16	7.33E-05
17	8.27E-05
18	9.27E-05
19	0.000103302
20	0.000114463
21	0.000126195
22	0.0001385
23	0.000151377
24	0.000164826
25	0.000178848
26	0.000193442
27	0.000208608
28	0.000224347
29	0.000240657
30	0.000257541
31	0.000274996
32	0.000293024
33	0.000311624
34	0.000330797
35	0.000350541
36	0.000370859
37	0.000391748
38	0.00041321
39	0.000435244
40	0.00045785
41	0.000481029
42	0.00050478
43	0.000529103
44	0.000553999
45	0.000579467
46	0.000605507
47	0.000632119
48	0.000659304
49	0.000687061
50	0.000715391
51	0.000744293
52	0.000773767
53	0.000803813
54	0.000834432
55	0.000865623
56	0.000897386
57	0.000929722
58	0.00096263
59	0.00099611
60	0.00103016
61	0.00106479
62	0.00109998
63	0.00113575
64	0.0011721
65	0.00120901
66	0.0012465
67	0.00128456
68	0.00132319
69	0.00136239
70	0.00140217
71	0.00144251
72	0.00148343
73	0.00152493
74	0.00156699
75	0.00160963
76	0.00165284
77	0.00169662
78	0.00174098
79	0.0017859
80	0.0018314
81	0.00187747
82	0.00192412
83	0.00197133
84	0.00201912
85	0.00206748
86	0.00211641
87	0.00216592
88	0.00221599
89	0.00226664
90	0.00231787
91	0.00236966
92	0.00242203
93	0.00247497
94	0.00252848
95	0.00258256
96	0.00263722
97	0.00269244
98	0.00274825
99	0.00280462
100	0.00286156
101	0.00291908
102	0.00297717
103	0.00303583
104	0.00309507
105	0.00315487
106	0.00321525
107	0.0032762
108	0.00333773
109	0.00339982
110	0.00346249
111	0.00352573
112	0.00358954
113	0.00365393
114	0.00371889
115	0.00378442
116	0.00385052
117	0.00391719
118	0.00398444
119	0.00405226
120	0.00412065
121	0.00418961
122	0.00425915
123	0.00432926
124	0.00439994
125	0.00447119
126	0.00454302
127	0.00461542
128	0.00468839
129	0.00476193
130	0.00483604
131	0.00491073
132	0.00498599
133	0.00506182
134	0.00513822
135	0.0052152
136	0.00529275
137	0.00537087
138	0.00544956
139	0.00552883
140	0.00560866
141	0.00568907
142	0.00577006
143	0.00585161
144	0.00593374
145	0.00601644
146	0.00609971
147	0.00618355
148	0.00626797
149	0.00635296
150	0.00643852
151	0.00652465
152	0.00661136
153	0.00669863
154	0.00678648
155	0.00687491
156	0.0069639
157	0.00705347
158	0.00714361
159	0.00723432
160	0.0073256
161	0.00741746
162	0.00750989
163	0.00760289
164	0.00769646
165	0.00779061
166	0.00788532
167	0.00798061
168	0.00807648
169	0.00817291
170	0.00826992
171	0.0083675
172	0.00846565
173	0.00856437
174	0.00866367
175	0.00876354
176	0.00886398
177	0.00896499
178	0.00906658
179	0.00916873
180	0.00927146
181	0.00937477
182	0.00947864
183	0.00958309
184	0.00968811
185	0.0097937
186	0.00989986
187	0.0100066
188	0.0101139
189	0.0102218
190	0.0103302
191	0.0104393
192	0.0105489
193	0.010659
194	0.0107698
195	0.0108811
196	0.010993
197	0.0111054
198	0.0112185
199	0.0113321
200	0.0114463
201	0.011561
202	0.0116763
203	0.0117922
204	0.0119087
205	0.0120257
206	0.0121433
207	0.0122615
208	0.0123803
209	0.0124996
210	0.0126195
211	0.01274
212	0.012861
213	0.0129826
214	0.0131048
215	0.0132276
216	0.0133509
217	0.0134748
218	0.0135993
219	0.0137243
220	0.01385
221	0.0139762
222	0.0141029
223	0.0142303
224	0.0143582
225	0.0144867
226	0.0146157
227	0.0147453
228	0.0148755
229	0.0150063
230	0.0151377
231	0.0152696
232	0.0154021
233	0.0155351
234	0.0156688
235	0.015803
236	0.0159378
237	0.0160731
238	0.016209
239	0.0163455
240	0.0164826
241	0.0166202
242	0.0167585
243	0.0168972
244	0.0170366
245	0.0171765
246	0.017317
247	0.0174581
248	0.0175998
249	0.017742
250	0.0178848
251	0.0180281
252	0.0181721
253	0.0183166
254	0.0184617
255	0.0186073
256	0.0187535
257	0.0189003
258	0.0190477
259	0.0191957
260	0.0193442
261	0.0194933
262	0.0196429
263	0.0197931
264	0.019944
265	0.0200953
266	0.0202473
267	0.0203998
268	0.0205529
269	0.0207066
270	0.0208608
271	0.0210156
272	0.021171
273	0.0213269
274	0.0214835
275	0.0216406
276	0.0217982
277	0.0219565
278	0.0221153
279	0.0222747
280	0.0224347
281	0.0225952
282	0.0227563
283	0.022918
284	0.0230802
285	0.023243
286	0.0234064
287	0.0235704
288	0.0237349
289	0.0239001
290	0.0240657
291	0.024232
292	0.0243988
293	0.0245662
294	0.0247342
295	0.0249028
296	0.0250719
297	0.0252416
298	0.0254118
299	0.0255827
300	0.0257541
301	0.025926
302	0.0260986
303	0.0262717
304	0.0264454
305	0.0266197
306	0.0267945
307	0.0269699
308	0.0271459
309	0.0273225
310	0.0274996
311	0.0276773
312	0.0278556
313	0.0280344
314	0.0282139
315	0.0283939
316	0.0285744
317	0.0287556
318	0.0289373
319	0.0291196
320	0.0293024
321	0.0294858
322	0.0296698
323	0.0298544
324	0.0300395
325	0.0302253
326	0.0304115
327	0.0305984
328	0.0307858
329	0.0309738
330	0.0311624
331	0.0313516
332	0.0315413
333	0.0317316
334	0.0319225
335	0.0321139
336	0.0323059
337	0.0324985
338	0.0326916
339	0.0328854
340	0.0330797
341	0.0332745
342	0.03347
343	0.033666
344	0.0338626
345	0.0340598
346	0.0342575
347	0.0344558
348	0.0346547
349	0.0348541
350	0.0350541
351	0.0352547
352	0.0354559
353	0.0356577
354	0.03586
355	0.0360628
356	0.0362663
357	0.0364703
358	0.0366749
359	0.0368801
360	0.0370859
361	0.0372922
362	0.0374991
363	0.0377065
364	0.0379146
365	0.0381232
366	0.0383324
367	0.0385421
368	0.0387524
369	0.0389633
370	0.0391748
371	0.0393868
372	0.0395995
373	0.0398126
374	0.0400264
375	0.0402407
376	0.0404556
377	0.0406711
378	0.0408872
379	0.0411038
380	0.041321
381	0.0415387
382	0.0417571
383	0.041976
384	0.0421955
385	0.0424155
386	0.0426361
387	0.0428573
388	0.0430791
389	0.0433015
390	0.0435244
391	0.0437479
392	0.0439719
393	0.0441966
394	0.0444218
395	0.0446475
396	0.0448739
397	0.0451008
398	0.0453283
399	0.0455564
400	0.045785
401	0.0460142
402	0.046244
403	0.0464744
404	0.0467053
405	0.0469368
406	0.0471689
407	0.0474015
408	0.0476347
409	0.0478685
410	0.0481029
411	0.0483378
412	0.0485733
413	0.0488094
414	0.049046
415	0.0492833
416	0.0495211
417	0.0497594
418	0.0499984
419	0.0502379
420	0.050478
421	0.0507186
422	0.0509599
423	0.0512017
424	0.051444
425	0.051687
426	0.0519305
427	0.0521746
428	0.0524193
429	0.0526645
430	0.0529103
431	0.0531567
432	0.0534036
433	0.0536512
434	0.0538993
435	0.0541479
436	0.0543972
437	0.054647
438	0.0548974
439	0.0551483
440	0.0553999
441	0.055652
442	0.0559046
443	0.0561579
444	0.0564117
445	0.0566661
446	0.0569211
447	0.0571766
448	0.0574327
449	0.0576894
450	0.0579467
451	0.0582045
452	0.0584629
453	0.0587219
454	0.0589814
455	0.0592415
456	0.0595022
457	0.0597635
458	0.0600253
459	0.0602877
460	0.0605507
461	0.0608142
462	0.0610783
463	0.061343
