Independent Variable - Plot	Dependent Variable - Plot
0	0
1	1.33E-09
2	5.34E-09
3	1.20E-08
4	2.14E-08
5	3.34E-08
6	4.81E-08
7	6.54E-08
8	8.54E-08
9	1.08E-07
10	1.33E-07
11	1.62E-07
12	1.92E-07
13	2.26E-07
14	2.62E-07
15	3.00E-07
16	3.42E-07
17	3.86E-07
18	4.33E-07
19	4.82E-07
20	5.34E-07
21	5.89E-07
22	6.46E-07
23	7.06E-07
24	7.69E-07
25	8.34E-07
26	9.02E-07
27	9.73E-07
28	1.05E-06
29	1.12E-06
30	1.20E-06
31	1.28E-06
32	1.37E-06
33	1.45E-06
34	1.54E-06
35	1.64E-06
36	1.73E-06
37	1.83E-06
38	1.93E-06
39	2.03E-06
40	2.14E-06
41	2.24E-06
42	2.35E-06
43	2.47E-06
44	2.58E-06
45	2.70E-06
46	2.82E-06
47	2.95E-06
48	3.08E-06
49	3.21E-06
50	3.34E-06
51	3.47E-06
52	3.61E-06
53	3.75E-06
54	3.89E-06
55	4.04E-06
56	4.19E-06
57	4.34E-06
58	4.49E-06
59	4.65E-06
60	4.81E-06
61	4.97E-06
62	5.13E-06
63	5.30E-06
64	5.47E-06
65	5.64E-06
66	5.82E-06
67	5.99E-06
68	6.17E-06
69	6.36E-06
70	6.54E-06
71	6.73E-06
72	6.92E-06
73	7.11E-06
74	7.31E-06
75	7.51E-06
76	7.71E-06
77	7.91E-06
78	8.12E-06
79	8.33E-06
80	8.54E-06
81	8.76E-06
82	8.98E-06
83	9.20E-06
84	9.42E-06
85	9.65E-06
86	9.87E-06
87	1.01E-05
88	1.03E-05
89	1.06E-05
90	1.08E-05
91	1.11E-05
92	1.13E-05
93	1.15E-05
94	1.18E-05
95	1.20E-05
96	1.23E-05
97	1.26E-05
98	1.28E-05
99	1.31E-05
100	1.33E-05
101	1.36E-05
102	1.39E-05
103	1.42E-05
104	1.44E-05
105	1.47E-05
106	1.50E-05
107	1.53E-05
108	1.56E-05
109	1.59E-05
110	1.62E-05
111	1.64E-05
112	1.67E-05
113	1.70E-05
114	1.73E-05
115	1.77E-05
116	1.80E-05
117	1.83E-05
118	1.86E-05
119	1.89E-05
120	1.92E-05
121	1.95E-05
122	1.99E-05
123	2.02E-05
124	2.05E-05
125	2.09E-05
126	2.12E-05
127	2.15E-05
128	2.19E-05
129	2.22E-05
130	2.26E-05
131	2.29E-05
132	2.33E-05
133	2.36E-05
134	2.40E-05
135	2.43E-05
136	2.47E-05
137	2.51E-05
138	2.54E-05
139	2.58E-05
140	2.62E-05
141	2.65E-05
142	2.69E-05
143	2.73E-05
144	2.77E-05
145	2.81E-05
146	2.85E-05
147	2.88E-05
148	2.92E-05
149	2.96E-05
150	3.00E-05
151	3.04E-05
152	3.08E-05
153	3.13E-05
154	3.17E-05
155	3.21E-05
156	3.25E-05
157	3.29E-05
158	3.33E-05
159	3.37E-05
160	3.42E-05
161	3.46E-05
162	3.50E-05
163	3.55E-05
164	3.59E-05
165	3.63E-05
166	3.68E-05
167	3.72E-05
168	3.77E-05
169	3.81E-05
170	3.86E-05
171	3.90E-05
172	3.95E-05
173	4.00E-05
174	4.04E-05
175	4.09E-05
176	4.14E-05
177	4.18E-05
178	4.23E-05
179	4.28E-05
180	4.33E-05
181	4.37E-05
182	4.42E-05
183	4.47E-05
184	4.52E-05
185	4.57E-05
186	4.62E-05
187	4.67E-05
188	4.72E-05
189	4.77E-05
190	4.82E-05
191	4.87E-05
192	4.92E-05
193	4.97E-05
194	5.02E-05
195	5.08E-05
196	5.13E-05
197	5.18E-05
198	5.23E-05
199	5.29E-05
200	5.34E-05
201	5.39E-05
202	5.45E-05
203	5.50E-05
204	5.56E-05
205	5.61E-05
206	5.67E-05
207	5.72E-05
208	5.78E-05
209	5.83E-05
210	5.89E-05
211	5.94E-05
212	6.00E-05
213	6.06E-05
214	6.11E-05
215	6.17E-05
216	6.23E-05
217	6.29E-05
218	6.34E-05
219	6.40E-05
220	6.46E-05
221	6.52E-05
222	6.58E-05
223	6.64E-05
224	6.70E-05
225	6.76E-05
226	6.82E-05
227	6.88E-05
228	6.94E-05
229	7.00E-05
230	7.06E-05
231	7.12E-05
232	7.19E-05
233	7.25E-05
234	7.31E-05
235	7.37E-05
236	7.44E-05
237	7.50E-05
238	7.56E-05
239	7.63E-05
240	7.69E-05
241	7.75E-05
242	7.82E-05
243	7.88E-05
244	7.95E-05
245	8.01E-05
246	8.08E-05
247	8.14E-05
248	8.21E-05
249	8.28E-05
250	8.34E-05
251	8.41E-05
252	8.48E-05
253	8.54E-05
254	8.61E-05
255	8.68E-05
256	8.75E-05
257	8.82E-05
258	8.89E-05
259	8.96E-05
260	9.02E-05
261	9.09E-05
262	9.16E-05
263	9.23E-05
264	9.30E-05
265	9.37E-05
266	9.45E-05
267	9.52E-05
268	9.59E-05
269	9.66E-05
270	9.73E-05
271	9.80E-05
272	9.88E-05
273	9.95E-05
274	0.000100223
275	0.000100956
276	0.000101692
277	0.00010243
278	0.000103171
279	0.000103914
280	0.000104661
281	0.000105409
282	0.000106161
283	0.000106915
284	0.000107672
285	0.000108432
286	0.000109194
287	0.000109959
288	0.000110727
289	0.000111497
290	0.00011227
291	0.000113045
292	0.000113824
293	0.000114605
294	0.000115388
295	0.000116175
296	0.000116964
297	0.000117755
298	0.000118549
299	0.000119346
300	0.000120146
301	0.000120948
302	0.000121753
303	0.000122561
304	0.000123371
305	0.000124184
306	0.000125
307	0.000125818
308	0.000126639
309	0.000127463
310	0.000128289
311	0.000129118
312	0.00012995
313	0.000130784
314	0.000131621
315	0.000132461
316	0.000133303
317	0.000134148
318	0.000134996
319	0.000135846
320	0.000136699
321	0.000137555
322	0.000138414
323	0.000139275
324	0.000140138
325	0.000141005
326	0.000141874
327	0.000142746
328	0.00014362
329	0.000144497
330	0.000145377
331	0.000146259
332	0.000147144
333	0.000148032
334	0.000148922
335	0.000149815
336	0.000150711
337	0.00015161
338	0.000152511
339	0.000153414
340	0.000154321
341	0.00015523
342	0.000156142
343	0.000157056
344	0.000157973
345	0.000158893
346	0.000159816
347	0.000160741
348	0.000161669
349	0.000162599
350	0.000163532
351	0.000164468
352	0.000165406
353	0.000166348
354	0.000167291
355	0.000168238
356	0.000169187
357	0.000170139
358	0.000171093
359	0.00017205
360	0.00017301
361	0.000173973
362	0.000174938
363	0.000175906
364	0.000176876
365	0.00017785
366	0.000178825
367	0.000179804
368	0.000180785
369	0.000181769
370	0.000182755
371	0.000183745
372	0.000184737
373	0.000185731
374	0.000186728
375	0.000187728
376	0.000188731
377	0.000189736
378	0.000190744
379	0.000191754
380	0.000192768
381	0.000193784
382	0.000194802
383	0.000195823
384	0.000196847
