Independent Variable - Plot	Dependent Variable - Plot
1	8.18E-11
1.999	3.27E-10
2.998	7.35E-10
3.997	1.31E-09
4.996	2.04E-09
5.995	2.94E-09
6.994	4.00E-09
7.993	5.22E-09
8.992	6.61E-09
9.991	8.16E-09
10.99	9.88E-09
11.989	1.18E-08
12.988	1.38E-08
13.987	1.60E-08
14.986	1.84E-08
15.985	2.09E-08
16.984	2.36E-08
17.983	2.64E-08
18.982	2.95E-08
19.981	3.26E-08
20.98	3.60E-08
21.979	3.95E-08
22.978	4.32E-08
23.977	4.70E-08
24.976	5.10E-08
25.975	5.52E-08
26.974	5.95E-08
27.973	6.40E-08
28.972	6.86E-08
29.971	7.34E-08
30.97	7.84E-08
31.969	8.36E-08
32.968	8.89E-08
33.967	9.43E-08
34.966	1.00E-07
35.965	1.06E-07
36.964	1.12E-07
37.963	1.18E-07
38.962	1.24E-07
39.961	1.31E-07
40.96	1.37E-07
41.959	1.44E-07
42.958	1.51E-07
43.957	1.58E-07
44.956	1.65E-07
45.955	1.73E-07
46.954	1.80E-07
47.953	1.88E-07
48.952	1.96E-07
49.951	2.04E-07
50.95	2.12E-07
51.949	2.21E-07
52.948	2.29E-07
53.947	2.38E-07
54.946	2.47E-07
55.945	2.56E-07
56.944	2.65E-07
57.943	2.75E-07
58.942	2.84E-07
59.941	2.94E-07
60.94	3.04E-07
61.939	3.14E-07
62.938	3.24E-07
63.937	3.34E-07
64.936	3.45E-07
65.935	3.55E-07
66.934	3.66E-07
67.933	3.77E-07
68.932	3.89E-07
69.931	4.00E-07
70.93	4.11E-07
71.929	4.23E-07
72.928	4.35E-07
73.927	4.47E-07
74.926	4.59E-07
75.925	4.71E-07
76.924	4.84E-07
77.923	4.96E-07
78.922	5.09E-07
79.921	5.22E-07
80.92	5.35E-07
81.919	5.49E-07
82.918	5.62E-07
83.917	5.76E-07
84.916	5.90E-07
85.915	6.04E-07
86.914	6.18E-07
87.913	6.32E-07
88.912	6.46E-07
89.911	6.61E-07
90.91	6.76E-07
91.909	6.91E-07
92.908	7.06E-07
93.907	7.21E-07
94.906	7.36E-07
95.905	7.52E-07
96.904	7.68E-07
97.903	7.84E-07
98.902	8.00E-07
99.901	8.16E-07
100.9	8.32E-07
101.899	8.49E-07
102.898	8.66E-07
103.897	8.83E-07
104.896	9.00E-07
105.895	9.17E-07
106.894	9.34E-07
107.893	9.52E-07
108.892	9.70E-07
109.891	9.87E-07
110.89	1.01E-06
111.889	1.02E-06
112.888	1.04E-06
113.887	1.06E-06
114.886	1.08E-06
115.885	1.10E-06
116.884	1.12E-06
117.883	1.14E-06
118.882	1.16E-06
119.881	1.18E-06
120.88	1.19E-06
121.879	1.21E-06
122.878	1.23E-06
123.877	1.25E-06
124.876	1.28E-06
125.875	1.30E-06
126.874	1.32E-06
127.873	1.34E-06
128.872	1.36E-06
129.871	1.38E-06
130.87	1.40E-06
131.869	1.42E-06
132.868	1.44E-06
133.867	1.47E-06
134.866	1.49E-06
135.865	1.51E-06
136.864	1.53E-06
137.863	1.55E-06
138.862	1.58E-06
139.861	1.60E-06
140.86	1.62E-06
141.859	1.65E-06
142.858	1.67E-06
143.857	1.69E-06
144.856	1.72E-06
145.855	1.74E-06
146.854	1.76E-06
147.853	1.79E-06
148.852	1.81E-06
149.851	1.84E-06
150.85	1.86E-06
151.849	1.89E-06
152.848	1.91E-06
153.847	1.94E-06
154.846	1.96E-06
155.845	1.99E-06
156.844	2.01E-06
157.843	2.04E-06
158.842	2.06E-06
159.841	2.09E-06
160.84	2.12E-06
161.839	2.14E-06
162.838	2.17E-06
163.837	2.19E-06
164.836	2.22E-06
165.835	2.25E-06
166.834	2.28E-06
167.833	2.30E-06
168.832	2.33E-06
169.831	2.36E-06
170.83	2.39E-06
171.829	2.41E-06
172.828	2.44E-06
173.827	2.47E-06
174.826	2.50E-06
175.825	2.53E-06
176.824	2.56E-06
177.823	2.59E-06
178.822	2.61E-06
179.821	2.64E-06
180.82	2.67E-06
181.819	2.70E-06
182.818	2.73E-06
183.817	2.76E-06
184.816	2.79E-06
185.815	2.82E-06
186.814	2.85E-06
187.813	2.88E-06
188.812	2.91E-06
189.811	2.95E-06
190.81	2.98E-06
191.809	3.01E-06
192.808	3.04E-06
193.807	3.07E-06
194.806	3.10E-06
195.805	3.13E-06
196.804	3.17E-06
197.803	3.20E-06
198.802	3.23E-06
199.801	3.26E-06
200.8	3.30E-06
201.799	3.33E-06
202.798	3.36E-06
203.797	3.40E-06
204.796	3.43E-06
205.795	3.46E-06
206.794	3.50E-06
207.793	3.53E-06
208.792	3.56E-06
209.791	3.60E-06
210.79	3.63E-06
211.789	3.67E-06
212.788	3.70E-06
213.787	3.74E-06
214.786	3.77E-06
215.785	3.81E-06
216.784	3.84E-06
217.783	3.88E-06
218.782	3.91E-06
219.781	3.95E-06
220.78	3.99E-06
221.779	4.02E-06
222.778	4.06E-06
223.777	4.09E-06
224.776	4.13E-06
225.775	4.17E-06
226.774	4.20E-06
227.773	4.24E-06
228.772	4.28E-06
229.771	4.32E-06
230.77	4.35E-06
231.769	4.39E-06
232.768	4.43E-06
233.767	4.47E-06
234.766	4.51E-06
235.765	4.54E-06
236.764	4.58E-06
237.763	4.62E-06
238.762	4.66E-06
239.761	4.70E-06
240.76	4.74E-06
241.759	4.78E-06
242.758	4.82E-06
243.757	4.86E-06
244.756	4.90E-06
245.755	4.94E-06
246.754	4.98E-06
247.753	5.02E-06
248.752	5.06E-06
249.751	5.10E-06
250.75	5.14E-06
251.749	5.18E-06
252.748	5.22E-06
253.747	5.26E-06
254.746	5.31E-06
255.745	5.35E-06
256.744	5.39E-06
257.743	5.43E-06
258.742	5.47E-06
259.741	5.52E-06
260.74	5.56E-06
261.739	5.60E-06
262.738	5.64E-06
263.737	5.69E-06
264.736	5.73E-06
265.735	5.77E-06
266.734	5.82E-06
267.733	5.86E-06
268.732	5.90E-06
269.731	5.95E-06
270.73	5.99E-06
271.729	6.04E-06
272.728	6.08E-06
273.727	6.13E-06
274.726	6.17E-06
275.725	6.22E-06
276.724	6.26E-06
277.723	6.31E-06
278.722	6.35E-06
279.721	6.40E-06
280.72	6.44E-06
281.719	6.49E-06
282.718	6.54E-06
283.717	6.58E-06
284.716	6.63E-06
285.715	6.67E-06
286.714	6.72E-06
287.713	6.77E-06
288.712	6.82E-06
289.711	6.86E-06
290.71	6.91E-06
291.709	6.96E-06
292.708	7.01E-06
293.707	7.05E-06
294.706	7.10E-06
295.705	7.15E-06
296.704	7.20E-06
297.703	7.25E-06
298.702	7.30E-06
299.701	7.34E-06
300.7	7.39E-06
301.699	7.44E-06
302.698	7.49E-06
303.697	7.54E-06
304.696	7.59E-06
305.695	7.64E-06
306.694	7.69E-06
307.693	7.74E-06
308.692	7.79E-06
309.691	7.84E-06
310.69	7.89E-06
311.689	7.94E-06
312.688	7.99E-06
313.687	8.05E-06
314.686	8.10E-06
315.685	8.15E-06
316.684	8.20E-06
317.683	8.25E-06
318.682	8.30E-06
319.681	8.36E-06
320.68	8.41E-06
321.679	8.46E-06
322.678	8.51E-06
323.677	8.57E-06
324.676	8.62E-06
325.675	8.67E-06
326.674	8.73E-06
327.673	8.78E-06
328.672	8.83E-06
329.671	8.89E-06
330.67	8.94E-06
331.669	8.99E-06
332.668	9.05E-06
333.667	9.10E-06
334.666	9.16E-06
335.665	9.21E-06
336.664	9.27E-06
337.663	9.32E-06
338.662	9.38E-06
339.661	9.43E-06
340.66	9.49E-06
341.659	9.54E-06
342.658	9.60E-06
343.657	9.66E-06
344.656	9.71E-06
345.655	9.77E-06
346.654	9.83E-06
347.653	9.88E-06
348.652	9.94E-06
349.651	1.00E-05
350.65	1.01E-05
351.649	1.01E-05
352.648	1.02E-05
353.647	1.02E-05
354.646	1.03E-05
355.645	1.03E-05
356.644	1.04E-05
357.643	1.05E-05
358.642	1.05E-05
359.641	1.06E-05
360.64	1.06E-05
361.639	1.07E-05
362.638	1.08E-05
363.637	1.08E-05
364.636	1.09E-05
365.635	1.09E-05
366.634	1.10E-05
367.633	1.11E-05
368.632	1.11E-05
369.631	1.12E-05
370.63	1.12E-05
