Independent Variable - Plot	Dependent Variable - Plot
1	1.64E-12
1.999	6.54E-12
2.998	1.47E-11
3.997	2.61E-11
4.996	4.08E-11
5.995	5.88E-11
6.994	8.00E-11
7.993	1.05E-10
8.992	1.32E-10
9.991	1.63E-10
10.99	1.98E-10
11.989	2.35E-10
12.988	2.76E-10
13.987	3.20E-10
14.986	3.67E-10
15.985	4.18E-10
16.984	4.72E-10
17.983	5.29E-10
18.982	5.89E-10
19.981	6.53E-10
20.98	7.20E-10
21.979	7.90E-10
22.978	8.64E-10
23.977	9.40E-10
24.976	1.02E-09
25.975	1.10E-09
26.974	1.19E-09
27.973	1.28E-09
28.972	1.37E-09
29.971	1.47E-09
30.97	1.57E-09
31.969	1.67E-09
32.968	1.78E-09
33.967	1.89E-09
34.966	2.00E-09
35.965	2.12E-09
36.964	2.23E-09
37.963	2.36E-09
38.962	2.48E-09
39.961	2.61E-09
40.96	2.74E-09
41.959	2.88E-09
42.958	3.02E-09
43.957	3.16E-09
44.956	3.31E-09
45.955	3.45E-09
46.954	3.61E-09
47.953	3.76E-09
48.952	3.92E-09
49.951	4.08E-09
50.95	4.25E-09
51.949	4.41E-09
52.948	4.59E-09
53.947	4.76E-09
54.946	4.94E-09
55.945	5.12E-09
56.944	5.30E-09
57.943	5.49E-09
58.942	5.68E-09
59.941	5.88E-09
60.94	6.07E-09
61.939	6.28E-09
62.938	6.48E-09
63.937	6.69E-09
64.936	6.90E-09
65.935	7.11E-09
66.934	7.33E-09
67.933	7.55E-09
68.932	7.77E-09
69.931	8.00E-09
70.93	8.23E-09
71.929	8.46E-09
72.928	8.70E-09
73.927	8.94E-09
74.926	9.18E-09
75.925	9.43E-09
76.924	9.68E-09
77.923	9.93E-09
78.922	1.02E-08
79.921	1.04E-08
80.92	1.07E-08
81.919	1.10E-08
82.918	1.12E-08
83.917	1.15E-08
84.916	1.18E-08
85.915	1.21E-08
86.914	1.24E-08
87.913	1.26E-08
88.912	1.29E-08
89.911	1.32E-08
90.91	1.35E-08
91.909	1.38E-08
92.908	1.41E-08
93.907	1.44E-08
94.906	1.47E-08
95.905	1.50E-08
96.904	1.54E-08
97.903	1.57E-08
98.902	1.60E-08
99.901	1.63E-08
100.9	1.67E-08
101.899	1.70E-08
102.898	1.73E-08
103.897	1.77E-08
104.896	1.80E-08
105.895	1.83E-08
106.894	1.87E-08
107.893	1.90E-08
108.892	1.94E-08
109.891	1.98E-08
110.89	2.01E-08
111.889	2.05E-08
112.888	2.08E-08
113.887	2.12E-08
114.886	2.16E-08
115.885	2.20E-08
116.884	2.23E-08
117.883	2.27E-08
118.882	2.31E-08
119.881	2.35E-08
120.88	2.39E-08
121.879	2.43E-08
122.878	2.47E-08
123.877	2.51E-08
124.876	2.55E-08
125.875	2.59E-08
126.874	2.63E-08
127.873	2.67E-08
128.872	2.72E-08
129.871	2.76E-08
130.87	2.80E-08
131.869	2.84E-08
132.868	2.89E-08
133.867	2.93E-08
134.866	2.98E-08
135.865	3.02E-08
136.864	3.06E-08
137.863	3.11E-08
138.862	3.15E-08
139.861	3.20E-08
140.86	3.25E-08
141.859	3.29E-08
142.858	3.34E-08
143.857	3.39E-08
144.856	3.43E-08
145.855	3.48E-08
146.854	3.53E-08
147.853	3.58E-08
148.852	3.62E-08
149.851	3.67E-08
150.85	3.72E-08
151.849	3.77E-08
152.848	3.82E-08
153.847	3.87E-08
154.846	3.92E-08
155.845	3.97E-08
156.844	4.02E-08
157.843	4.08E-08
158.842	4.13E-08
159.841	4.18E-08
160.84	4.23E-08
161.839	4.28E-08
162.838	4.34E-08
163.837	4.39E-08
164.836	4.44E-08
165.835	4.50E-08
166.834	4.55E-08
167.833	4.61E-08
168.832	4.66E-08
169.831	4.72E-08
170.83	4.77E-08
171.829	4.83E-08
172.828	4.89E-08
173.827	4.94E-08
174.826	5.00E-08
175.825	5.06E-08
176.824	5.11E-08
177.823	5.17E-08
178.822	5.23E-08
179.821	5.29E-08
180.82	5.35E-08
181.819	5.41E-08
182.818	5.47E-08
183.817	5.53E-08
184.816	5.59E-08
185.815	5.65E-08
186.814	5.71E-08
187.813	5.77E-08
188.812	5.83E-08
189.811	5.89E-08
190.81	5.96E-08
191.809	6.02E-08
192.808	6.08E-08
193.807	6.14E-08
194.806	6.21E-08
195.805	6.27E-08
196.804	6.34E-08
197.803	6.40E-08
198.802	6.46E-08
199.801	6.53E-08
200.8	6.60E-08
201.799	6.66E-08
202.798	6.73E-08
203.797	6.79E-08
204.796	6.86E-08
205.795	6.93E-08
206.794	6.99E-08
207.793	7.06E-08
208.792	7.13E-08
209.791	7.20E-08
210.79	7.27E-08
211.789	7.34E-08
212.788	7.41E-08
213.787	7.48E-08
214.786	7.55E-08
215.785	7.62E-08
216.784	7.69E-08
217.783	7.76E-08
218.782	7.83E-08
219.781	7.90E-08
220.78	7.97E-08
221.779	8.05E-08
222.778	8.12E-08
223.777	8.19E-08
224.776	8.26E-08
225.775	8.34E-08
226.774	8.41E-08
227.773	8.49E-08
228.772	8.56E-08
229.771	8.64E-08
230.77	8.71E-08
231.769	8.79E-08
232.768	8.86E-08
233.767	8.94E-08
234.766	9.02E-08
235.765	9.09E-08
236.764	9.17E-08
237.763	9.25E-08
238.762	9.32E-08
239.761	9.40E-08
240.76	9.48E-08
241.759	9.56E-08
242.758	9.64E-08
243.757	9.72E-08
244.756	9.80E-08
245.755	9.88E-08
246.754	9.96E-08
247.753	1.00E-07
248.752	1.01E-07
249.751	1.02E-07
250.75	1.03E-07
251.749	1.04E-07
252.748	1.04E-07
253.747	1.05E-07
254.746	1.06E-07
255.745	1.07E-07
256.744	1.08E-07
257.743	1.09E-07
258.742	1.10E-07
259.741	1.10E-07
260.74	1.11E-07
261.739	1.12E-07
262.738	1.13E-07
263.737	1.14E-07
264.736	1.15E-07
265.735	1.16E-07
266.734	1.16E-07
267.733	1.17E-07
268.732	1.18E-07
269.731	1.19E-07
270.73	1.20E-07
271.729	1.21E-07
272.728	1.22E-07
273.727	1.23E-07
274.726	1.23E-07
275.725	1.24E-07
276.724	1.25E-07
277.723	1.26E-07
278.722	1.27E-07
279.721	1.28E-07
280.72	1.29E-07
281.719	1.30E-07
282.718	1.31E-07
283.717	1.32E-07
284.716	1.33E-07
285.715	1.34E-07
286.714	1.34E-07
287.713	1.35E-07
288.712	1.36E-07
289.711	1.37E-07
290.71	1.38E-07
291.709	1.39E-07
292.708	1.40E-07
293.707	1.41E-07
294.706	1.42E-07
295.705	1.43E-07
296.704	1.44E-07
297.703	1.45E-07
298.702	1.46E-07
299.701	1.47E-07
300.7	1.48E-07
301.699	1.49E-07
302.698	1.50E-07
303.697	1.51E-07
304.696	1.52E-07
305.695	1.53E-07
306.694	1.54E-07
307.693	1.55E-07
308.692	1.56E-07
309.691	1.57E-07
310.69	1.58E-07
311.689	1.59E-07
312.688	1.60E-07
313.687	1.61E-07
314.686	1.62E-07
315.685	1.63E-07
316.684	1.64E-07
317.683	1.65E-07
318.682	1.66E-07
319.681	1.67E-07
320.68	1.68E-07
321.679	1.69E-07
322.678	1.70E-07
323.677	1.71E-07
324.676	1.72E-07
325.675	1.73E-07
326.674	1.75E-07
327.673	1.76E-07
328.672	1.77E-07
329.671	1.78E-07
330.67	1.79E-07
331.669	1.80E-07
332.668	1.81E-07
333.667	1.82E-07
334.666	1.83E-07
335.665	1.84E-07
336.664	1.85E-07
337.663	1.86E-07
338.662	1.88E-07
339.661	1.89E-07
