Independent Variable - Plot	Dependent Variable - Plot
1	3.81E-12
1.999	1.52E-11
2.998	3.43E-11
3.997	6.09E-11
4.996	9.52E-11
5.995	1.37E-10
6.994	1.87E-10
7.993	2.44E-10
8.992	3.08E-10
9.991	3.81E-10
10.99	4.61E-10
11.989	5.48E-10
12.988	6.43E-10
13.987	7.46E-10
14.986	8.56E-10
15.985	9.74E-10
16.984	1.10E-09
17.983	1.23E-09
18.982	1.37E-09
19.981	1.52E-09
20.98	1.68E-09
21.979	1.84E-09
22.978	2.01E-09
23.977	2.19E-09
24.976	2.38E-09
25.975	2.57E-09
26.974	2.77E-09
27.973	2.98E-09
28.972	3.20E-09
29.971	3.43E-09
30.97	3.66E-09
31.969	3.90E-09
32.968	4.14E-09
33.967	4.40E-09
34.966	4.66E-09
35.965	4.93E-09
36.964	5.21E-09
37.963	5.50E-09
38.962	5.79E-09
39.961	6.09E-09
40.96	6.40E-09
41.959	6.71E-09
42.958	7.04E-09
43.957	7.37E-09
44.956	7.71E-09
45.955	8.05E-09
46.954	8.41E-09
47.953	8.77E-09
48.952	9.14E-09
49.951	9.51E-09
50.95	9.90E-09
51.949	1.03E-08
52.948	1.07E-08
53.947	1.11E-08
54.946	1.15E-08
55.945	1.19E-08
56.944	1.24E-08
57.943	1.28E-08
58.942	1.32E-08
59.941	1.37E-08
60.94	1.42E-08
61.939	1.46E-08
62.938	1.51E-08
63.937	1.56E-08
64.936	1.61E-08
65.935	1.66E-08
66.934	1.71E-08
67.933	1.76E-08
68.932	1.81E-08
69.931	1.86E-08
70.93	1.92E-08
71.929	1.97E-08
72.928	2.03E-08
73.927	2.08E-08
74.926	2.14E-08
75.925	2.20E-08
76.924	2.26E-08
77.923	2.32E-08
78.922	2.38E-08
79.921	2.44E-08
80.92	2.50E-08
81.919	2.56E-08
82.918	2.62E-08
83.917	2.69E-08
84.916	2.75E-08
85.915	2.81E-08
86.914	2.88E-08
87.913	2.95E-08
88.912	3.01E-08
89.911	3.08E-08
90.91	3.15E-08
91.909	3.22E-08
92.908	3.29E-08
93.907	3.36E-08
94.906	3.43E-08
95.905	3.51E-08
96.904	3.58E-08
97.903	3.66E-08
98.902	3.73E-08
99.901	3.81E-08
100.9	3.88E-08
101.899	3.96E-08
102.898	4.04E-08
103.897	4.12E-08
104.896	4.20E-08
105.895	4.28E-08
106.894	4.36E-08
107.893	4.44E-08
108.892	4.52E-08
109.891	4.60E-08
110.89	4.69E-08
111.889	4.77E-08
112.888	4.86E-08
113.887	4.95E-08
114.886	5.03E-08
115.885	5.12E-08
116.884	5.21E-08
117.883	5.30E-08
118.882	5.39E-08
119.881	5.48E-08
120.88	5.57E-08
121.879	5.66E-08
122.878	5.76E-08
123.877	5.85E-08
124.876	5.95E-08
125.875	6.04E-08
126.874	6.14E-08
127.873	6.24E-08
128.872	6.33E-08
129.871	6.43E-08
130.87	6.53E-08
131.869	6.63E-08
132.868	6.73E-08
133.867	6.83E-08
134.866	6.94E-08
135.865	7.04E-08
136.864	7.14E-08
137.863	7.25E-08
138.862	7.35E-08
139.861	7.46E-08
140.86	7.57E-08
141.859	7.67E-08
142.858	7.78E-08
143.857	7.89E-08
144.856	8.00E-08
145.855	8.11E-08
146.854	8.22E-08
147.853	8.34E-08
148.852	8.45E-08
149.851	8.56E-08
150.85	8.68E-08
151.849	8.79E-08
152.848	8.91E-08
153.847	9.03E-08
154.846	9.14E-08
155.845	9.26E-08
156.844	9.38E-08
157.843	9.50E-08
158.842	9.62E-08
159.841	9.74E-08
160.84	9.86E-08
161.839	9.99E-08
162.838	1.01E-07
163.837	1.02E-07
164.836	1.04E-07
165.835	1.05E-07
166.834	1.06E-07
167.833	1.07E-07
168.832	1.09E-07
169.831	1.10E-07
170.83	1.11E-07
171.829	1.13E-07
172.828	1.14E-07
173.827	1.15E-07
174.826	1.17E-07
175.825	1.18E-07
176.824	1.19E-07
177.823	1.21E-07
178.822	1.22E-07
179.821	1.23E-07
180.82	1.25E-07
181.819	1.26E-07
182.818	1.27E-07
183.817	1.29E-07
184.816	1.30E-07
185.815	1.32E-07
186.814	1.33E-07
187.813	1.35E-07
188.812	1.36E-07
189.811	1.37E-07
190.81	1.39E-07
191.809	1.40E-07
192.808	1.42E-07
193.807	1.43E-07
194.806	1.45E-07
195.805	1.46E-07
196.804	1.48E-07
197.803	1.49E-07
198.802	1.51E-07
199.801	1.52E-07
200.8	1.54E-07
201.799	1.55E-07
202.798	1.57E-07
203.797	1.58E-07
204.796	1.60E-07
205.795	1.61E-07
206.794	1.63E-07
207.793	1.65E-07
208.792	1.66E-07
209.791	1.68E-07
210.79	1.69E-07
211.789	1.71E-07
212.788	1.73E-07
213.787	1.74E-07
214.786	1.76E-07
215.785	1.78E-07
216.784	1.79E-07
217.783	1.81E-07
218.782	1.83E-07
219.781	1.84E-07
220.78	1.86E-07
221.779	1.88E-07
222.778	1.89E-07
223.777	1.91E-07
224.776	1.93E-07
225.775	1.94E-07
226.774	1.96E-07
227.773	1.98E-07
228.772	2.00E-07
229.771	2.01E-07
230.77	2.03E-07
231.769	2.05E-07
232.768	2.07E-07
233.767	2.08E-07
234.766	2.10E-07
235.765	2.12E-07
236.764	2.14E-07
237.763	2.16E-07
238.762	2.17E-07
239.761	2.19E-07
240.76	2.21E-07
241.759	2.23E-07
242.758	2.25E-07
243.757	2.27E-07
244.756	2.28E-07
245.755	2.30E-07
246.754	2.32E-07
247.753	2.34E-07
248.752	2.36E-07
249.751	2.38E-07
250.75	2.40E-07
251.749	2.42E-07
252.748	2.44E-07
253.747	2.46E-07
254.746	2.47E-07
255.745	2.49E-07
256.744	2.51E-07
257.743	2.53E-07
258.742	2.55E-07
259.741	2.57E-07
260.74	2.59E-07
261.739	2.61E-07
262.738	2.63E-07
263.737	2.65E-07
264.736	2.67E-07
265.735	2.69E-07
266.734	2.71E-07
267.733	2.73E-07
268.732	2.75E-07
269.731	2.77E-07
270.73	2.79E-07
271.729	2.82E-07
272.728	2.84E-07
273.727	2.86E-07
274.726	2.88E-07
275.725	2.90E-07
276.724	2.92E-07
277.723	2.94E-07
278.722	2.96E-07
279.721	2.98E-07
280.72	3.01E-07
281.719	3.03E-07
282.718	3.05E-07
283.717	3.07E-07
284.716	3.09E-07
285.715	3.11E-07
286.714	3.13E-07
287.713	3.16E-07
288.712	3.18E-07
289.711	3.20E-07
290.71	3.22E-07
291.709	3.24E-07
292.708	3.27E-07
293.707	3.29E-07
294.706	3.31E-07
295.705	3.33E-07
296.704	3.36E-07
297.703	3.38E-07
298.702	3.40E-07
299.701	3.43E-07
300.7	3.45E-07
301.699	3.47E-07
302.698	3.49E-07
303.697	3.52E-07
304.696	3.54E-07
305.695	3.56E-07
306.694	3.59E-07
307.693	3.61E-07
308.692	3.63E-07
309.691	3.66E-07
310.69	3.68E-07
311.689	3.70E-07
312.688	3.73E-07
313.687	3.75E-07
314.686	3.78E-07
315.685	3.80E-07
316.684	3.82E-07
317.683	3.85E-07
318.682	3.87E-07
319.681	3.90E-07
320.68	3.92E-07
321.679	3.95E-07
322.678	3.97E-07
323.677	4.00E-07
324.676	4.02E-07
325.675	4.04E-07
326.674	4.07E-07
327.673	4.09E-07
328.672	4.12E-07
329.671	4.14E-07
330.67	4.17E-07
331.669	4.19E-07
332.668	4.22E-07
333.667	4.25E-07
334.666	4.27E-07
335.665	4.30E-07
336.664	4.32E-07
337.663	4.35E-07
338.662	4.37E-07
339.661	4.40E-07
340.66	4.43E-07
341.659	4.45E-07
342.658	4.48E-07
343.657	4.50E-07
344.656	4.53E-07
345.655	4.56E-07
346.654	4.58E-07
347.653	4.61E-07
348.652	4.64E-07
349.651	4.66E-07
350.65	4.69E-07
351.649	4.72E-07
352.648	4.74E-07
353.647	4.77E-07
354.646	4.80E-07
355.645	4.82E-07
356.644	4.85E-07
357.643	4.88E-07
358.642	4.90E-07
359.641	4.93E-07
360.64	4.96E-07
361.639	4.99E-07
362.638	5.01E-07
363.637	5.04E-07
364.636	5.07E-07
365.635	5.10E-07
366.634	5.13E-07
367.633	5.15E-07
368.632	5.18E-07
369.631	5.21E-07
370.63	5.24E-07
371.629	5.27E-07
372.628	5.29E-07
373.627	5.32E-07
374.626	5.35E-07
375.625	5.38E-07
376.624	5.41E-07
377.623	5.44E-07
378.622	5.47E-07
379.621	5.50E-07
380.62	5.52E-07
381.619	5.55E-07
382.618	5.58E-07
383.617	5.61E-07
384.616	5.64E-07
385.615	5.67E-07
386.614	5.70E-07
387.613	5.73E-07
388.612	5.76E-07
389.611	5.79E-07
390.61	5.82E-07
391.609	5.85E-07
392.608	5.88E-07
393.607	5.91E-07
394.606	5.94E-07
395.605	5.97E-07
396.604	6.00E-07
397.603	6.03E-07
398.602	6.06E-07
399.601	6.09E-07
400.6	6.12E-07
401.599	6.15E-07
402.598	6.18E-07
403.597	6.21E-07
404.596	6.24E-07
405.595	6.27E-07
406.594	6.30E-07
407.593	6.34E-07
408.592	6.37E-07
409.591	6.40E-07
410.59	6.43E-07
411.589	6.46E-07
412.588	6.49E-07
413.587	6.52E-07
414.586	6.55E-07
415.585	6.59E-07
416.584	6.62E-07
417.583	6.65E-07
418.582	6.68E-07
419.581	6.71E-07
420.58	6.75E-07
421.579	6.78E-07
