Independent Variable - Plot	Dependent Variable - Plot
0	0
1	3.82E+06
2	7.64E+06
3	1.15E+07
4	1.53E+07
5	1.91E+07
6	2.29E+07
7	2.67E+07
8	3.06E+07
9	3.44E+07
10	3.82E+07
11	4.20E+07
12	4.58E+07
13	4.97E+07
14	5.35E+07
15	5.73E+07
16	6.11E+07
17	6.49E+07
18	6.87E+07
19	7.26E+07
20	7.64E+07
21	8.02E+07
22	8.40E+07
23	8.78E+07
24	9.17E+07
25	9.55E+07
26	9.93E+07
27	1.03E+08
28	1.07E+08
29	1.11E+08
30	1.15E+08
31	1.18E+08
32	1.22E+08
33	1.26E+08
34	1.30E+08
35	1.34E+08
36	1.37E+08
37	1.41E+08
38	1.45E+08
39	1.49E+08
40	1.53E+08
41	1.57E+08
42	1.60E+08
43	1.64E+08
44	1.68E+08
45	1.72E+08
46	1.76E+08
47	1.80E+08
48	1.83E+08
49	1.87E+08
50	1.91E+08
51	1.95E+08
52	1.99E+08
53	2.02E+08
54	2.06E+08
55	2.10E+08
56	2.14E+08
57	2.18E+08
58	2.22E+08
59	2.25E+08
60	2.29E+08
61	2.33E+08
62	2.37E+08
63	2.41E+08
64	2.44E+08
65	2.48E+08
66	2.52E+08
67	2.56E+08
68	2.60E+08
69	2.64E+08
70	2.67E+08
71	2.71E+08
72	2.75E+08
73	2.79E+08
74	2.83E+08
75	2.86E+08
76	2.90E+08
77	2.94E+08
78	2.98E+08
79	3.02E+08
80	3.06E+08
81	3.09E+08
82	3.13E+08
83	3.17E+08
84	3.21E+08
85	3.25E+08
86	3.28E+08
87	3.32E+08
88	3.36E+08
89	3.40E+08
90	3.44E+08
91	3.48E+08
92	3.51E+08
93	3.55E+08
94	3.59E+08
95	3.63E+08
96	3.67E+08
97	3.70E+08
98	3.74E+08
99	3.78E+08
100	3.82E+08
101	3.86E+08
102	3.90E+08
103	3.93E+08
104	3.97E+08
105	4.01E+08
106	4.05E+08
107	4.09E+08
108	4.12E+08
109	4.16E+08
110	4.20E+08
111	4.24E+08
112	4.28E+08
113	4.32E+08
114	4.35E+08
115	4.39E+08
116	4.43E+08
117	4.47E+08
118	4.51E+08
119	4.55E+08
120	4.58E+08
121	4.62E+08
122	4.66E+08
123	4.70E+08
124	4.74E+08
125	4.77E+08
126	4.81E+08
127	4.85E+08
128	4.89E+08
129	4.93E+08
130	4.97E+08
131	5.00E+08
132	5.04E+08
133	5.08E+08
134	5.12E+08
135	5.16E+08
136	5.19E+08
137	5.23E+08
138	5.27E+08
139	5.31E+08
140	5.35E+08
141	5.39E+08
142	5.42E+08
143	5.46E+08
144	5.50E+08
145	5.54E+08
146	5.58E+08
147	5.61E+08
148	5.65E+08
149	5.69E+08
150	5.73E+08
151	5.77E+08
152	5.81E+08
153	5.84E+08
154	5.88E+08
155	5.92E+08
156	5.96E+08
157	6.00E+08
158	6.03E+08
159	6.07E+08
160	6.11E+08
161	6.15E+08
162	6.19E+08
163	6.23E+08
