Independent Variable - Plot	Dependent Variable - Plot
0	0
1	3.39E+06
2	6.79E+06
3	1.02E+07
4	1.36E+07
5	1.70E+07
6	2.04E+07
7	2.37E+07
8	2.71E+07
9	3.05E+07
10	3.39E+07
11	3.73E+07
12	4.07E+07
13	4.41E+07
14	4.75E+07
15	5.09E+07
16	5.43E+07
17	5.77E+07
18	6.11E+07
19	6.45E+07
20	6.79E+07
21	7.12E+07
22	7.46E+07
23	7.80E+07
24	8.14E+07
25	8.48E+07
26	8.82E+07
27	9.16E+07
28	9.50E+07
29	9.84E+07
30	1.02E+08
31	1.05E+08
32	1.09E+08
33	1.12E+08
34	1.15E+08
35	1.19E+08
36	1.22E+08
37	1.26E+08
38	1.29E+08
39	1.32E+08
40	1.36E+08
41	1.39E+08
42	1.42E+08
43	1.46E+08
44	1.49E+08
45	1.53E+08
46	1.56E+08
47	1.59E+08
48	1.63E+08
49	1.66E+08
50	1.70E+08
51	1.73E+08
52	1.76E+08
53	1.80E+08
54	1.83E+08
55	1.87E+08
56	1.90E+08
57	1.93E+08
58	1.97E+08
59	2.00E+08
60	2.04E+08
61	2.07E+08
62	2.10E+08
63	2.14E+08
64	2.17E+08
65	2.21E+08
66	2.24E+08
67	2.27E+08
68	2.31E+08
69	2.34E+08
70	2.37E+08
71	2.41E+08
72	2.44E+08
73	2.48E+08
74	2.51E+08
75	2.54E+08
76	2.58E+08
77	2.61E+08
78	2.65E+08
79	2.68E+08
80	2.71E+08
81	2.75E+08
82	2.78E+08
83	2.82E+08
84	2.85E+08
85	2.88E+08
86	2.92E+08
87	2.95E+08
88	2.99E+08
89	3.02E+08
90	3.05E+08
91	3.09E+08
92	3.12E+08
93	3.16E+08
94	3.19E+08
95	3.22E+08
96	3.26E+08
97	3.29E+08
98	3.32E+08
99	3.36E+08
100	3.39E+08
101	3.43E+08
102	3.46E+08
103	3.49E+08
104	3.53E+08
105	3.56E+08
106	3.60E+08
107	3.63E+08
108	3.66E+08
109	3.70E+08
110	3.73E+08
111	3.77E+08
112	3.80E+08
113	3.83E+08
114	3.87E+08
115	3.90E+08
116	3.94E+08
117	3.97E+08
118	4.00E+08
119	4.04E+08
120	4.07E+08
121	4.11E+08
122	4.14E+08
123	4.17E+08
124	4.21E+08
125	4.24E+08
126	4.27E+08
127	4.31E+08
128	4.34E+08
129	4.38E+08
130	4.41E+08
131	4.44E+08
132	4.48E+08
133	4.51E+08
134	4.55E+08
135	4.58E+08
136	4.61E+08
137	4.65E+08
138	4.68E+08
139	4.72E+08
140	4.75E+08
141	4.78E+08
142	4.82E+08
143	4.85E+08
144	4.89E+08
145	4.92E+08
146	4.95E+08
147	4.99E+08
148	5.02E+08
149	5.06E+08
150	5.09E+08
151	5.12E+08
152	5.16E+08
153	5.19E+08
154	5.22E+08
155	5.26E+08
156	5.29E+08
157	5.33E+08
158	5.36E+08
159	5.39E+08
160	5.43E+08
161	5.46E+08
162	5.50E+08
163	5.53E+08
164	5.56E+08
165	5.60E+08
166	5.63E+08
167	5.67E+08
168	5.70E+08
169	5.73E+08
170	5.77E+08
171	5.80E+08
172	5.84E+08
173	5.87E+08
174	5.90E+08
175	5.94E+08
176	5.97E+08
177	6.01E+08
178	6.04E+08
179	6.07E+08
180	6.11E+08
181	6.14E+08
182	6.17E+08
183	6.21E+08
184	6.24E+08
185	6.28E+08
186	6.31E+08
187	6.34E+08
188	6.38E+08
189	6.41E+08
190	6.45E+08
191	6.48E+08
192	6.51E+08
193	6.55E+08
194	6.58E+08
195	6.62E+08
196	6.65E+08
197	6.68E+08
198	6.72E+08
199	6.75E+08
200	6.79E+08
201	6.82E+08
202	6.85E+08
203	6.89E+08
204	6.92E+08
205	6.96E+08
206	6.99E+08
207	7.02E+08
