Independent Variable - Plot	Dependent Variable - Plot
0	0
1	1.74E+06
2	3.48E+06
3	5.22E+06
4	6.95E+06
5	8.69E+06
6	1.04E+07
7	1.22E+07
8	1.39E+07
9	1.56E+07
10	1.74E+07
11	1.91E+07
12	2.09E+07
13	2.26E+07
14	2.43E+07
15	2.61E+07
16	2.78E+07
17	2.96E+07
18	3.13E+07
19	3.30E+07
20	3.48E+07
21	3.65E+07
22	3.82E+07
23	4.00E+07
24	4.17E+07
25	4.35E+07
26	4.52E+07
27	4.69E+07
28	4.87E+07
29	5.04E+07
30	5.22E+07
31	5.39E+07
32	5.56E+07
33	5.74E+07
34	5.91E+07
35	6.08E+07
36	6.26E+07
37	6.43E+07
38	6.61E+07
39	6.78E+07
40	6.95E+07
41	7.13E+07
42	7.30E+07
43	7.47E+07
44	7.65E+07
45	7.82E+07
46	8.00E+07
47	8.17E+07
48	8.34E+07
49	8.52E+07
50	8.69E+07
51	8.87E+07
52	9.04E+07
53	9.21E+07
54	9.39E+07
55	9.56E+07
56	9.73E+07
57	9.91E+07
58	1.01E+08
59	1.03E+08
60	1.04E+08
61	1.06E+08
62	1.08E+08
63	1.10E+08
64	1.11E+08
65	1.13E+08
66	1.15E+08
67	1.16E+08
68	1.18E+08
69	1.20E+08
70	1.22E+08
71	1.23E+08
72	1.25E+08
73	1.27E+08
74	1.29E+08
75	1.30E+08
76	1.32E+08
77	1.34E+08
78	1.36E+08
79	1.37E+08
80	1.39E+08
81	1.41E+08
82	1.43E+08
83	1.44E+08
84	1.46E+08
85	1.48E+08
86	1.49E+08
87	1.51E+08
88	1.53E+08
89	1.55E+08
90	1.56E+08
91	1.58E+08
92	1.60E+08
93	1.62E+08
94	1.63E+08
95	1.65E+08
96	1.67E+08
97	1.69E+08
98	1.70E+08
99	1.72E+08
100	1.74E+08
101	1.76E+08
102	1.77E+08
103	1.79E+08
104	1.81E+08
105	1.83E+08
106	1.84E+08
107	1.86E+08
108	1.88E+08
109	1.89E+08
110	1.91E+08
111	1.93E+08
112	1.95E+08
113	1.96E+08
114	1.98E+08
115	2.00E+08
116	2.02E+08
117	2.03E+08
118	2.05E+08
119	2.07E+08
120	2.09E+08
121	2.10E+08
122	2.12E+08
123	2.14E+08
124	2.16E+08
125	2.17E+08
126	2.19E+08
127	2.21E+08
128	2.23E+08
129	2.24E+08
130	2.26E+08
131	2.28E+08
132	2.29E+08
133	2.31E+08
134	2.33E+08
135	2.35E+08
136	2.36E+08
137	2.38E+08
138	2.40E+08
139	2.42E+08
140	2.43E+08
141	2.45E+08
142	2.47E+08
143	2.49E+08
144	2.50E+08
145	2.52E+08
146	2.54E+08
147	2.56E+08
148	2.57E+08
149	2.59E+08
150	2.61E+08
151	2.62E+08
152	2.64E+08
153	2.66E+08
154	2.68E+08
155	2.69E+08
156	2.71E+08
157	2.73E+08
158	2.75E+08
159	2.76E+08
160	2.78E+08
161	2.80E+08
162	2.82E+08
163	2.83E+08
164	2.85E+08
165	2.87E+08
166	2.89E+08
167	2.90E+08
168	2.92E+08
169	2.94E+08
170	2.96E+08
171	2.97E+08
172	2.99E+08
173	3.01E+08
174	3.02E+08
175	3.04E+08
176	3.06E+08
177	3.08E+08
178	3.09E+08
179	3.11E+08
180	3.13E+08
181	3.15E+08
182	3.16E+08
183	3.18E+08
184	3.20E+08
185	3.22E+08
186	3.23E+08
187	3.25E+08
188	3.27E+08
189	3.29E+08
190	3.30E+08
191	3.32E+08
192	3.34E+08
193	3.36E+08
194	3.37E+08
195	3.39E+08
196	3.41E+08
197	3.42E+08
198	3.44E+08
199	3.46E+08
200	3.48E+08
201	3.49E+08
202	3.51E+08
203	3.53E+08
204	3.55E+08
205	3.56E+08
206	3.58E+08
207	3.60E+08
208	3.62E+08
209	3.63E+08
210	3.65E+08
211	3.67E+08
212	3.69E+08
213	3.70E+08
214	3.72E+08
215	3.74E+08
216	3.75E+08
217	3.77E+08
218	3.79E+08
219	3.81E+08
220	3.82E+08
221	3.84E+08
222	3.86E+08
223	3.88E+08
224	3.89E+08
225	3.91E+08
226	3.93E+08
227	3.95E+08
228	3.96E+08
229	3.98E+08
230	4.00E+08
231	4.02E+08
232	4.03E+08
233	4.05E+08
234	4.07E+08
235	4.09E+08
236	4.10E+08
237	4.12E+08
238	4.14E+08
239	4.15E+08
240	4.17E+08
241	4.19E+08
242	4.21E+08
243	4.22E+08
244	4.24E+08
245	4.26E+08
246	4.28E+08
247	4.29E+08
248	4.31E+08
249	4.33E+08
250	4.35E+08
251	4.36E+08
252	4.38E+08
253	4.40E+08
254	4.42E+08
255	4.43E+08
256	4.45E+08
257	4.47E+08
258	4.48E+08
259	4.50E+08
260	4.52E+08
261	4.54E+08
262	4.55E+08
263	4.57E+08
264	4.59E+08
265	4.61E+08
266	4.62E+08
267	4.64E+08
268	4.66E+08
269	4.68E+08
270	4.69E+08
271	4.71E+08
272	4.73E+08
273	4.75E+08
274	4.76E+08
275	4.78E+08
276	4.80E+08
277	4.82E+08
278	4.83E+08
279	4.85E+08
280	4.87E+08
281	4.88E+08
282	4.90E+08
283	4.92E+08
284	4.94E+08
285	4.95E+08
286	4.97E+08
287	4.99E+08
288	5.01E+08
289	5.02E+08
290	5.04E+08
291	5.06E+08
292	5.08E+08
293	5.09E+08
294	5.11E+08
295	5.13E+08
296	5.15E+08
297	5.16E+08
298	5.18E+08
299	5.20E+08
300	5.22E+08
301	5.23E+08
302	5.25E+08
303	5.27E+08
304	5.28E+08
305	5.30E+08
306	5.32E+08
307	5.34E+08
308	5.35E+08
309	5.37E+08
310	5.39E+08
311	5.41E+08
312	5.42E+08
313	5.44E+08
314	5.46E+08
315	5.48E+08
316	5.49E+08
317	5.51E+08
318	5.53E+08
319	5.55E+08
320	5.56E+08
321	5.58E+08
322	5.60E+08
323	5.61E+08
324	5.63E+08
325	5.65E+08
326	5.67E+08
327	5.68E+08
328	5.70E+08
329	5.72E+08
330	5.74E+08
331	5.75E+08
332	5.77E+08
333	5.79E+08
334	5.81E+08
335	5.82E+08
336	5.84E+08
337	5.86E+08
338	5.88E+08
339	5.89E+08
340	5.91E+08
341	5.93E+08
342	5.95E+08
343	5.96E+08
344	5.98E+08
345	6.00E+08
346	6.01E+08
347	6.03E+08
348	6.05E+08
349	6.07E+08
350	6.08E+08
351	6.10E+08
352	6.12E+08
353	6.14E+08
354	6.15E+08
355	6.17E+08
356	6.19E+08
357	6.21E+08
358	6.22E+08
359	6.24E+08
360	6.26E+08
361	6.28E+08
362	6.29E+08
363	6.31E+08
364	6.33E+08
365	6.34E+08
366	6.36E+08
367	6.38E+08
368	6.40E+08
369	6.41E+08
370	6.43E+08
371	6.45E+08
372	6.47E+08
373	6.48E+08
374	6.50E+08
375	6.52E+08
376	6.54E+08
377	6.55E+08
378	6.57E+08
379	6.59E+08
380	6.61E+08
381	6.62E+08
382	6.64E+08
383	6.66E+08
384	6.68E+08
385	6.69E+08
386	6.71E+08
387	6.73E+08
388	6.74E+08
389	6.76E+08
390	6.78E+08
391	6.80E+08
392	6.81E+08
393	6.83E+08
394	6.85E+08
395	6.87E+08
396	6.88E+08
397	6.90E+08
398	6.92E+08
399	6.94E+08
400	6.95E+08
401	6.97E+08
402	6.99E+08
403	7.01E+08
404	7.02E+08
405	7.04E+08
406	7.06E+08
407	7.08E+08
408	7.09E+08
409	7.11E+08
410	7.13E+08
411	7.14E+08
412	7.16E+08
413	7.18E+08
414	7.20E+08
415	7.21E+08
416	7.23E+08
417	7.25E+08
418	7.27E+08
419	7.28E+08
420	7.30E+08
421	7.32E+08
422	7.34E+08
423	7.35E+08
424	7.37E+08
425	7.39E+08
426	7.41E+08
427	7.42E+08
428	7.44E+08
429	7.46E+08
430	7.47E+08
431	7.49E+08
432	7.51E+08
433	7.53E+08
434	7.54E+08
