Independent Variable - Plot	Dependent Variable - Plot
0	0
1	1.37E+06
2	2.74E+06
3	4.11E+06
4	5.48E+06
5	6.86E+06
6	8.23E+06
7	9.60E+06
8	1.10E+07
9	1.23E+07
10	1.37E+07
11	1.51E+07
12	1.65E+07
13	1.78E+07
14	1.92E+07
15	2.06E+07
16	2.19E+07
17	2.33E+07
18	2.47E+07
19	2.61E+07
20	2.74E+07
21	2.88E+07
22	3.02E+07
23	3.15E+07
24	3.29E+07
25	3.43E+07
26	3.56E+07
27	3.70E+07
28	3.84E+07
29	3.98E+07
30	4.11E+07
31	4.25E+07
32	4.39E+07
33	4.52E+07
34	4.66E+07
35	4.80E+07
36	4.94E+07
37	5.07E+07
38	5.21E+07
39	5.35E+07
40	5.48E+07
41	5.62E+07
42	5.76E+07
43	5.90E+07
44	6.03E+07
45	6.17E+07
46	6.31E+07
47	6.44E+07
48	6.58E+07
49	6.72E+07
50	6.86E+07
51	6.99E+07
52	7.13E+07
53	7.27E+07
54	7.40E+07
55	7.54E+07
56	7.68E+07
57	7.82E+07
58	7.95E+07
59	8.09E+07
60	8.23E+07
61	8.36E+07
62	8.50E+07
63	8.64E+07
64	8.77E+07
65	8.91E+07
66	9.05E+07
67	9.19E+07
68	9.32E+07
69	9.46E+07
70	9.60E+07
71	9.73E+07
72	9.87E+07
73	1.00E+08
74	1.01E+08
75	1.03E+08
76	1.04E+08
77	1.06E+08
78	1.07E+08
79	1.08E+08
80	1.10E+08
81	1.11E+08
82	1.12E+08
83	1.14E+08
84	1.15E+08
85	1.17E+08
86	1.18E+08
87	1.19E+08
88	1.21E+08
89	1.22E+08
90	1.23E+08
91	1.25E+08
92	1.26E+08
93	1.28E+08
94	1.29E+08
95	1.30E+08
96	1.32E+08
97	1.33E+08
98	1.34E+08
99	1.36E+08
100	1.37E+08
101	1.38E+08
102	1.40E+08
103	1.41E+08
104	1.43E+08
105	1.44E+08
106	1.45E+08
107	1.47E+08
108	1.48E+08
109	1.49E+08
110	1.51E+08
111	1.52E+08
112	1.54E+08
113	1.55E+08
114	1.56E+08
115	1.58E+08
116	1.59E+08
117	1.60E+08
118	1.62E+08
119	1.63E+08
120	1.65E+08
121	1.66E+08
122	1.67E+08
123	1.69E+08
124	1.70E+08
125	1.71E+08
126	1.73E+08
127	1.74E+08
128	1.75E+08
129	1.77E+08
130	1.78E+08
131	1.80E+08
132	1.81E+08
133	1.82E+08
134	1.84E+08
135	1.85E+08
136	1.86E+08
137	1.88E+08
138	1.89E+08
139	1.91E+08
140	1.92E+08
141	1.93E+08
142	1.95E+08
143	1.96E+08
144	1.97E+08
145	1.99E+08
146	2.00E+08
147	2.02E+08
148	2.03E+08
149	2.04E+08
150	2.06E+08
151	2.07E+08
152	2.08E+08
153	2.10E+08
154	2.11E+08
155	2.13E+08
156	2.14E+08
157	2.15E+08
158	2.17E+08
159	2.18E+08
160	2.19E+08
161	2.21E+08
162	2.22E+08
163	2.23E+08
164	2.25E+08
165	2.26E+08
166	2.28E+08
167	2.29E+08
168	2.30E+08
169	2.32E+08
170	2.33E+08
171	2.34E+08
172	2.36E+08
173	2.37E+08
174	2.39E+08
175	2.40E+08
176	2.41E+08
177	2.43E+08
178	2.44E+08
179	2.45E+08
180	2.47E+08
181	2.48E+08
182	2.50E+08
183	2.51E+08
184	2.52E+08
185	2.54E+08
186	2.55E+08
187	2.56E+08
188	2.58E+08
189	2.59E+08
190	2.61E+08
191	2.62E+08
192	2.63E+08
193	2.65E+08
194	2.66E+08
195	2.67E+08
196	2.69E+08
197	2.70E+08
198	2.71E+08
199	2.73E+08
200	2.74E+08
201	2.76E+08
202	2.77E+08
203	2.78E+08
204	2.80E+08
205	2.81E+08
206	2.82E+08
207	2.84E+08
208	2.85E+08
209	2.87E+08
210	2.88E+08
211	2.89E+08
212	2.91E+08
213	2.92E+08
214	2.93E+08
215	2.95E+08
216	2.96E+08
217	2.98E+08
218	2.99E+08
219	3.00E+08
220	3.02E+08
221	3.03E+08
222	3.04E+08
223	3.06E+08
224	3.07E+08
225	3.08E+08
226	3.10E+08
227	3.11E+08
228	3.13E+08
229	3.14E+08
230	3.15E+08
231	3.17E+08
232	3.18E+08
233	3.19E+08
234	3.21E+08
235	3.22E+08
236	3.24E+08
237	3.25E+08
238	3.26E+08
239	3.28E+08
240	3.29E+08
241	3.30E+08
242	3.32E+08
243	3.33E+08
244	3.35E+08
245	3.36E+08
246	3.37E+08
247	3.39E+08
248	3.40E+08
249	3.41E+08
250	3.43E+08
251	3.44E+08
252	3.46E+08
253	3.47E+08
254	3.48E+08
255	3.50E+08
256	3.51E+08
257	3.52E+08
258	3.54E+08
259	3.55E+08
260	3.56E+08
261	3.58E+08
262	3.59E+08
263	3.61E+08
264	3.62E+08
265	3.63E+08
266	3.65E+08
267	3.66E+08
268	3.67E+08
269	3.69E+08
270	3.70E+08
271	3.72E+08
272	3.73E+08
273	3.74E+08
274	3.76E+08
275	3.77E+08
276	3.78E+08
277	3.80E+08
278	3.81E+08
279	3.83E+08
280	3.84E+08
281	3.85E+08
282	3.87E+08
283	3.88E+08
284	3.89E+08
285	3.91E+08
286	3.92E+08
287	3.94E+08
288	3.95E+08
289	3.96E+08
290	3.98E+08
291	3.99E+08
292	4.00E+08
293	4.02E+08
294	4.03E+08
295	4.04E+08
296	4.06E+08
297	4.07E+08
298	4.09E+08
299	4.10E+08
300	4.11E+08
301	4.13E+08
302	4.14E+08
303	4.15E+08
304	4.17E+08
305	4.18E+08
306	4.20E+08
307	4.21E+08
308	4.22E+08
309	4.24E+08
310	4.25E+08
311	4.26E+08
312	4.28E+08
313	4.29E+08
314	4.31E+08
315	4.32E+08
316	4.33E+08
317	4.35E+08
318	4.36E+08
319	4.37E+08
320	4.39E+08
321	4.40E+08
322	4.41E+08
323	4.43E+08
324	4.44E+08
325	4.46E+08
326	4.47E+08
327	4.48E+08
328	4.50E+08
329	4.51E+08
330	4.52E+08
331	4.54E+08
332	4.55E+08
333	4.57E+08
334	4.58E+08
335	4.59E+08
336	4.61E+08
337	4.62E+08
338	4.63E+08
339	4.65E+08
340	4.66E+08
